country,clade,origin,newest,mrca,sample_oldest,par_name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
china,2321c,2007.31(2005.09:2007.61),2015.315,2007.6112,2009.67,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81(0.02:8.06),0.62(0.0:3.18),1.25(0.1:3.79),0.75(0.01:2.32),1.47(0.02:5.05),0.5(0.0:2.49),1.13(0.14:3.15),1.67(0.42:4.27),6.73(0.05:43.23),0,0,0,
china,2321c,2007.31(2005.09:2007.61),2015.315,2007.6112,2009.67,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85(-2.18:5.67),-0.31(-1.91:1.48),0.28(-1.43:2.21),-0.34(-2.34:1.57),0.35(-1.07:2.32),-0.37(-1.62:0.95),0.18(-1.55:1.86),1.05(-0.92:3.24),6.43(-1.45:15.83),0,0,0,
china,2321c,2007.31(2005.09:2007.61),2015.315,2007.6112,2009.67,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09(0.06:6.73),0.55(0.0:2.33),1.45(0.19:3.46),1.04(0.02:2.98),1.16(0.03:3.55),0.38(0.0:1.71),1.5(0.2:3.15),2.59(0.98:4.74),7.63(0.85:15.89),0,0,0,
china,2321c,2007.31(2005.09:2007.61),2015.315,2007.6112,2009.67,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0.55(0.0:1.92),0,0,0,
china,2321c,2007.31(2005.09:2007.61),2015.315,2007.6112,2009.67,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38(0.0:2.29),0.22(0.0:1.18),0.45(0.01:1.45),0.71(0.05:2.02),0.15(0.0:0.8),0.15(0.0:0.75),0.63(0.05:1.67),0.84(0.19:1.74),0.35(0.0:2.18),0,0,0,
egypt,2211,2004.14(2001.31:2004.52),2010.164,2004.5151,2007.97,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56(0.02:6.34),1.35(0.03:4.76),0.9(0.02:3.67),3.49(1.05:12.44),0.73(0.45:1.07),0.34(0.07:0.78),0.54(0.0:5.04),0,0,0,0,0,0,0,0,
egypt,2211,2004.14(2001.31:2004.52),2010.164,2004.5151,2007.97,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57(-1.76:4.5),0.31(-1.33:2.38),-0.08(-1.44:1.43),2.09(0.98:3.28),-0.82(-1.93:0.22),-1.59(-3.09:-0.26),-3.86(-26.98:16.54),0,0,0,0,0,0,0,0,
egypt,2211,2004.14(2001.31:2004.52),2010.164,2004.5151,2007.97,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81(0.02:5.56),1.28(0.03:3.72),0.81(0.04:2.41),2.99(1.74:4.84),2.2(1.26:3.4),0.81(0.16:1.95),5.29(0.0:19.05),0,0,0,0,0,0,0,0,
egypt,2211,2004.14(2001.31:2004.52),2010.164,2004.5151,2007.97,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67(0.0:2.25),0.67(0.0:2.25),0.67(0.0:2.25),0.67(0.0:2.25),0.67(0.0:2.25),0.67(0.0:2.25),0.67(0.0:2.25),0,0,0,0,0,0,0,0,
egypt,2211,2004.14(2001.31:2004.52),2010.164,2004.5151,2007.97,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28(0.0:1.7),0.17(0.0:0.92),0.14(0.0:0.69),0.13(0.0:0.39),2.27(1.18:3.27),1.63(0.66:2.76),8.5(0.28:25.62),0,0,0,0,0,0,0,0,
egypt,2212,2009.37(2008.44:2009.55),2017.288,2009.5474,2010.28,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17(0.41:6.61),1.86(1.1:3.73),0.69(0.43:0.99),1.23(0.8:1.74),0.91(0.53:1.39),1.24(0.84:1.78),0.53(0.27:0.83),0.37(0.09:0.76),2.52(0.0:16.94),0,
egypt,2212,2009.37(2008.44:2009.55),2017.288,2009.5474,2010.28,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65(-0.98:7.43),1.9(0.75:3.1),-1.11(-2.21:-0.04),0.65(-0.47:1.81),-0.25(-1.32:0.75),0.7(-0.37:1.85),-1.67(-2.78:-0.48),-3.7(-7.03:-0.97),6.05(-11.96:27.71),0,
egypt,2212,2009.37(2008.44:2009.55),2017.288,2009.5474,2010.28,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06(1.21:10.28),4.08(1.97:6.9),2.44(1.15:4.4),3.3(1.44:6.09),2.28(1.01:4.56),3.53(1.77:6.04),1.82(0.66:3.78),2.19(0.56:4.53),10.54(0.0:27.58),0,
egypt,2212,2009.37(2008.44:2009.55),2017.288,2009.5474,2010.28,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),1.82(0.0:4.36),0,
egypt,2212,2009.37(2008.44:2009.55),2017.288,2009.5474,2010.28,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3(0.0:1.63),0.34(0.08:0.71),1.67(0.64:2.82),0.82(0.29:1.54),0.67(0.18:1.37),0.96(0.38:1.72),1.66(0.68:2.79),4.01(1.7:6.83),1.79(0.0:10.26),0,
vietnam,2321c,2011.2(2008.7:2011.56),2015.866,2011.5582,2012.54,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12(0.02:4.75),1.49(0.63:2.84),1.42(0.88:2.13),0.41(0.13:0.77),2.03(0.21:6.92),0,0,0,
vietnam,2321c,2011.2(2008.7:2011.56),2015.866,2011.5582,2012.54,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17(-2.67:4.07),1.26(-0.69:3.14),1.28(-0.34:2.79),-1.95(-3.5:-0.57),2.07(-1.33:5.4),0,0,0,
vietnam,2321c,2011.2(2008.7:2011.56),2015.866,2011.5582,2012.54,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89(0.04:6.11),3.74(1.66:6.52),4.18(2.41:7.03),1.33(0.31:3.12),3.94(0.62:7.77),0,0,0,
vietnam,2321c,2011.2(2008.7:2011.56),2015.866,2011.5582,2012.54,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06(0.0:3.88),1.06(0.0:3.88),1.06(0.0:3.88),1.06(0.0:3.88),1.06(0.0:3.88),0,0,0,
vietnam,2321c,2011.2(2008.7:2011.56),2015.866,2011.5582,2012.54,psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33(0.0:1.98),1.18(0.34:2.28),1.67(0.69:2.71),2.04(0.64:3.47),0.56(0.01:1.72),0,0,0,
indonesia,2132,2003.48(1999.06:2004.13),2010.537,2004.1313,2006.25,R,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08(0.02:3.67),1.64(0.37:6.69),0.95(0.35:1.8),0.96(0.6:1.35),0.9(0.08:2.94),1.39(0.12:4.96),3.49(0.04:20.36),0,0,0,0,0,0,0,0,
indonesia,2132,2003.48(1999.06:2004.13),2010.537,2004.1313,2006.25,exp_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1(-1.67:2.34),0.82(-0.79:2.55),-0.1(-1.46:1.23),-0.14(-1.53:1.25),-0.25(-3.27:3.33),0.58(-1.3:2.62),4.17(-1.44:10.03),0,0,0,0,0,0,0,0,
indonesia,2132,2003.48(1999.06:2004.13),2010.537,2004.1313,2006.25,lam,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44(0.01:5.07),2.1(0.39:5.4),1.89(0.53:4.37),3.31(1.85:5.91),2.22(0.23:5.43),1.99(0.18:5.44),5.86(0.64:11.74),0,0,0,0,0,0,0,0,
